structure_index,formula,total_atoms,distinct_elements,elements,count_Cr,fraction_Cr,count_W,fraction_W,count_Y,fraction_Y,count_Zr,fraction_Zr
197,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
198,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
199,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
200,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
201,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
202,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
203,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
204,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
205,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
206,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
207,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
208,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
209,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
210,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
211,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
212,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
213,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
214,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
215,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
216,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
217,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
218,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
219,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
220,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
221,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
222,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
223,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
224,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
225,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
226,Y128,128,1,Y,0,0.000000000000,0,0.000000000000,128,1.000000000000,0,0.000000000000
227,Y135,135,1,Y,0,0.000000000000,0,0.000000000000,135,1.000000000000,0,0.000000000000
228,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
229,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
230,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
231,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
232,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
233,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
234,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
235,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
236,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
237,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
238,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
239,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
240,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
241,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
242,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
243,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
244,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
245,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
246,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
247,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
248,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
249,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
250,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
251,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
252,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
253,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
254,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
255,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
256,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
257,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
258,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
259,Zr125,125,1,Zr,0,0.000000000000,0,0.000000000000,0,0.000000000000,125,1.000000000000
