structure_index,formula,total_atoms,distinct_elements,elements,count_Cr,fraction_Cr,count_W,fraction_W,count_Y,fraction_Y,count_Zr,fraction_Zr
1003,Cr109Zr16,125,2,"Cr,Zr",109,0.872000000000,0,0.000000000000,0,0.000000000000,16,0.128000000000
1004,Cr135Zr67,202,2,"Cr,Zr",135,0.668316831683,0,0.000000000000,0,0.000000000000,67,0.331683168317
1005,Cr136Zr73,209,2,"Cr,Zr",136,0.650717703349,0,0.000000000000,0,0.000000000000,73,0.349282296651
1006,Cr9Zr33,42,2,"Cr,Zr",9,0.214285714286,0,0.000000000000,0,0.000000000000,33,0.785714285714
1007,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1008,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1009,Cr95YZr31,127,3,"Cr,Y,Zr",95,0.748031496063,0,0.000000000000,1,0.007874015748,31,0.244094488189
1010,Cr8Zr35,43,2,"Cr,Zr",8,0.186046511628,0,0.000000000000,0,0.000000000000,35,0.813953488372
1011,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1012,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1013,Cr8Zr35,43,2,"Cr,Zr",8,0.186046511628,0,0.000000000000,0,0.000000000000,35,0.813953488372
1014,Cr10Zr32,42,2,"Cr,Zr",10,0.238095238095,0,0.000000000000,0,0.000000000000,32,0.761904761905
1015,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1016,Cr113Zr61,174,2,"Cr,Zr",113,0.649425287356,0,0.000000000000,0,0.000000000000,61,0.350574712644
1017,Cr139Zr70,209,2,"Cr,Zr",139,0.665071770335,0,0.000000000000,0,0.000000000000,70,0.334928229665
1018,Cr136Zr73,209,2,"Cr,Zr",136,0.650717703349,0,0.000000000000,0,0.000000000000,73,0.349282296651
1019,Cr64Zr32,96,2,"Cr,Zr",64,0.666666666667,0,0.000000000000,0,0.000000000000,32,0.333333333333
1020,Cr64Zr32,96,2,"Cr,Zr",64,0.666666666667,0,0.000000000000,0,0.000000000000,32,0.333333333333
1021,Cr64Zr32,96,2,"Cr,Zr",64,0.666666666667,0,0.000000000000,0,0.000000000000,32,0.333333333333
1022,Cr64Zr32,96,2,"Cr,Zr",64,0.666666666667,0,0.000000000000,0,0.000000000000,32,0.333333333333
1023,Cr64Zr40,104,2,"Cr,Zr",64,0.615384615385,0,0.000000000000,0,0.000000000000,40,0.384615384615
1024,Cr67Zr36,103,2,"Cr,Zr",67,0.650485436893,0,0.000000000000,0,0.000000000000,36,0.349514563107
1025,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1026,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1027,Cr94YZr31,126,3,"Cr,Y,Zr",94,0.746031746032,0,0.000000000000,1,0.007936507937,31,0.246031746032
1028,Cr67Zr36,103,2,"Cr,Zr",67,0.650485436893,0,0.000000000000,0,0.000000000000,36,0.349514563107
1029,Cr65Zr37,102,2,"Cr,Zr",65,0.637254901961,0,0.000000000000,0,0.000000000000,37,0.362745098039
1030,Cr67Zr38,105,2,"Cr,Zr",67,0.638095238095,0,0.000000000000,0,0.000000000000,38,0.361904761905
1031,Cr69Zr35,104,2,"Cr,Zr",69,0.663461538462,0,0.000000000000,0,0.000000000000,35,0.336538461538
1032,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1033,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1034,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1035,Cr84Zr30,114,2,"Cr,Zr",84,0.736842105263,0,0.000000000000,0,0.000000000000,30,0.263157894737
1036,Cr94YZr31,126,3,"Cr,Y,Zr",94,0.746031746032,0,0.000000000000,1,0.007936507937,31,0.246031746032
1037,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1038,Cr94Zr31,125,2,"Cr,Zr",94,0.752000000000,0,0.000000000000,0,0.000000000000,31,0.248000000000
1039,Cr94Zr32,126,2,"Cr,Zr",94,0.746031746032,0,0.000000000000,0,0.000000000000,32,0.253968253968
1040,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1041,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1042,Cr70Zr44,114,2,"Cr,Zr",70,0.614035087719,0,0.000000000000,0,0.000000000000,44,0.385964912281
1043,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1044,Cr79Zr47,126,2,"Cr,Zr",79,0.626984126984,0,0.000000000000,0,0.000000000000,47,0.373015873016
1045,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1046,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1047,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1048,Cr73Zr42,115,2,"Cr,Zr",73,0.634782608696,0,0.000000000000,0,0.000000000000,42,0.365217391304
1049,Cr78Zr48,126,2,"Cr,Zr",78,0.619047619048,0,0.000000000000,0,0.000000000000,48,0.380952380952
1050,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1051,Cr78WZr47,126,3,"Cr,W,Zr",78,0.619047619048,1,0.007936507937,0,0.000000000000,47,0.373015873016
1052,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1053,Cr78Zr48,126,2,"Cr,Zr",78,0.619047619048,0,0.000000000000,0,0.000000000000,48,0.380952380952
1054,Cr128Zr64,192,2,"Cr,Zr",128,0.666666666667,0,0.000000000000,0,0.000000000000,64,0.333333333333
1055,Cr128Zr64,192,2,"Cr,Zr",128,0.666666666667,0,0.000000000000,0,0.000000000000,64,0.333333333333
1056,Cr128Zr64,192,2,"Cr,Zr",128,0.666666666667,0,0.000000000000,0,0.000000000000,64,0.333333333333
1057,Cr128Zr64,192,2,"Cr,Zr",128,0.666666666667,0,0.000000000000,0,0.000000000000,64,0.333333333333
1058,Cr134Zr69,203,2,"Cr,Zr",134,0.660098522167,0,0.000000000000,0,0.000000000000,69,0.339901477833
1059,Cr133Zr70,203,2,"Cr,Zr",133,0.655172413793,0,0.000000000000,0,0.000000000000,70,0.344827586207
1060,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1061,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1062,Cr78Zr47,125,2,"Cr,Zr",78,0.624000000000,0,0.000000000000,0,0.000000000000,47,0.376000000000
1063,Cr78WYZr47,127,4,"Cr,W,Y,Zr",78,0.614173228346,1,0.007874015748,1,0.007874015748,47,0.370078740157
1064,Cr63Zr62,125,2,"Cr,Zr",63,0.504000000000,0,0.000000000000,0,0.000000000000,62,0.496000000000
1065,Cr64Zr62,126,2,"Cr,Zr",64,0.507936507937,0,0.000000000000,0,0.000000000000,62,0.492063492063
1066,Cr63Zr62,125,2,"Cr,Zr",63,0.504000000000,0,0.000000000000,0,0.000000000000,62,0.496000000000
1067,Cr63Zr62,125,2,"Cr,Zr",63,0.504000000000,0,0.000000000000,0,0.000000000000,62,0.496000000000
1068,Cr63Zr62,125,2,"Cr,Zr",63,0.504000000000,0,0.000000000000,0,0.000000000000,62,0.496000000000
